Soma: 1 | Contador: 2
Soma: 28 | Contador: 8
Soma: 10 | Contador: 5
Soma: 45 | Contador: 10
Soma: 6 | Contador: 4
Soma: 55 | Contador: 11
Soma: 15 | Contador: 6
Soma: 36 | Contador: 9
Soma: 3 | Contador: 3
Soma: 0 | Contador: 1
Soma: 190 | Contador: 20
Soma: 21 | Contador: 7
Soma: 66 | Contador: 12
Soma: 78 | Contador: 13
Soma: 91 | Contador: 14
Soma: 105 | Contador: 15
Soma: 120 | Contador: 16
Soma: 136 | Contador: 17
Soma: 153 | Contador: 18
Soma: 171 | Contador: 19
Soma: 210 | Contador: 21
Soma: 231 | Contador: 22
Soma: 253 | Contador: 23
Soma: 276 | Contador: 24
Soma: 300 | Contador: 25
Soma: 325 | Contador: 26
Soma: 351 | Contador: 27
Soma: 378 | Contador: 28
Soma: 406 | Contador: 29
Soma: 435 | Contador: 30
Soma: 465 | Contador: 31
Soma: 496 | Contador: 32
Soma: 528 | Contador: 33
Soma: 561 | Contador: 34
Soma: 946 | Contador: 44
Soma: 595 | Contador: 35
Soma: 630 | Contador: 36
Soma: 1081 | Contador: 47
Soma: 1128 | Contador: 48
Soma: 666 | Contador: 37
Soma: 703 | Contador: 38
Soma: 741 | Contador: 39
Soma: 780 | Contador: 40
Soma: 820 | Contador: 41
Soma: 861 | Contador: 42
Soma: 903 | Contador: 43
Soma: 990 | Contador: 45
Soma: 1035 | Contador: 46
Soma: 1176 | Contador: 49
Terminou
Valor final do contador: 49
